threshold,precision,recall,f1_score,false_positives,false_negatives,true_positives,true_negatives
0.63,0.22276006074411542,0.47270896273917423,0.30281917295658345,8189,2618,2347,48349
0.64,0.22981994740036416,0.45760322255790536,0.3059726617736179,7614,2693,2272,48924
0.65,0.23624421233982987,0.4418932527693857,0.3078866124052764,7093,2771,2194,49445
0.66,0.24395044575662847,0.4243705941591138,0.30980738126746066,6530,2858,2107,50008
0.67,0.25171339563862927,0.4068479355488419,0.31100846805234794,6005,2945,2020,50533
0.68,0.25635507733692,0.3838872104733132,0.3074193548387097,5529,3059,1906,51009
0.69,0.2639988273233656,0.3627391742195368,0.3055909052345805,5021,3164,1801,51517
0.7,0.27176357211692903,0.34078549848942596,0.30238584576892147,4534,3273,1692,52004
0.71,0.2834507042253521,0.324269889224572,0.3024894316580554,4070,3355,1610,52468
0.72,0.29256875365710944,0.3021148036253776,0.2972651605231867,3627,3465,1500,52911
0.73,0.3026629140506603,0.28157099697885196,0.2917362270450751,3221,3567,1398,53317
0.74,0.314015518913676,0.2608257804632427,0.284959841566729,2829,3670,1295,53709
0.75,0.3175472214618122,0.23363544813695872,0.2692039916453934,2493,3805,1160,54045
0.76,0.3316582914572864,0.21268882175226586,0.2591729046508774,2128,3909,1056,54410
0.77,0.3393763596809282,0.18851963746223566,0.24239285251845138,1822,4029,936,54716
0.78,0.35423728813559324,0.16837865055387713,0.228259385665529,1524,4129,836,55014
0.79,0.36744882675986024,0.14823766364551863,0.21125143513203215,1267,4229,736,55271
0.8,0.37575392038600725,0.12547834843907352,0.18813226634455685,1035,4342,623,55503
0.81,0.39924812030075185,0.10694864048338369,0.16870532168387609,799,4434,531,55739
0.82,0.42857142857142855,0.08942598187311178,0.14797533744375937,592,4521,444,55946
0.83,0.4392059553349876,0.07129909365558912,0.12268237740426269,452,4611,354,56086
0.84,0.4617996604414261,0.054783484390735146,0.09794742527907814,317,4693,272,56221
0.85,0.5023474178403756,0.04310171198388721,0.07939157855685401,212,4751,214,56326
0.86,0.5251798561151079,0.029405840886203426,0.05569330535952699,132,4819,146,56406
0.87,0.55,0.019939577039274924,0.03848396501457726,81,4866,99,56457
0.88,0.6274509803921569,0.012890231621349446,0.02526149595421354,38,4901,64,56500
0.89,0.723404255319149,0.006847935548841893,0.013567438148443736,13,4931,34,56525
0.9,0.8181818181818182,0.0018126888217522659,0.003617363344051447,2,4956,9,56536
